-66,9
58,8
46,9
46,3
-43,3
-58
62,8
98,2
27,8
88,5
19,8
-67,6
82,8
80,6
40,8
-19,9
-4,3
47,2
-19,6
87,5
31,6
-47,9
-87,9
-83,8
3,4
-99,8
-93,1
92,9
-72,8
-36,6
-90,3
-5,7
-50,7
2,5
44,7
-58,7
-30,9
81,1
68,1
-68,4
5,9
3,1
94,1
-68
-15,2
40,5
-63,6
71
67,8
-14,7
48,2
-71,8
48,5
-40
57,9
80,9
46,7
30,7
-57,2
-43,6
-65
69,8
70,9
-35,6
78,8
-74,6
83
-19,7
-64,2
-0,6
-89,1
14,6
79,1
-51,3
-18,4
-71,5
-42
80,1
31,4
62,9
63,8
-64,2
-74,9
41,9
15,1
81,4
45,7
89,2
44,6
63,8
-5,5
38,4
38,2
11,6
96,6
36
32,1
29,6
-46,8
-40,7
57,4
56,1
35,2
-31,7
-25,6
-66,4
-50,9
-0,3
78,4
29,3
22,9
66,6
99,3
-20,1
-7,4
99,2
44,7
-71
49,3
97,3
-20,4
93,8
35,7
-28
-95,2
-27,5
76,3
-32,6
-47,9
45,6
-3,6
28,4
26,8
-28
-94,6
-92,3
0,6
56,8
-32,5
-18,6
32,3
-54
-89,2
-84,8
-59,2
27,9
39,1
-41,7
-81,1
97,3
91,2
3,1
80,2
-44,2
79,6
63,6
-79,6
-36,8
-36,6
-98,2
-42,7
81,6
-52,4
-67,2
-67,1
94,5
-60,3
27,2
-25,6
-15,1
-1,5
87,9
61,5
-32,1
-35
-66,4
82,9
20,4
-68,9
-23,1
33,4
17,9
-51,6
-45,3
54,3
93,2
48,1
-29
-7,7
-58,2
87,2
-62,7
-6,7
-34,4
-76
50,6
98,3
78
82,3
-53,7
-11,8
-88,2
83,8
34
-1,2
-96,7
41,5
12,3
90,8
45,9
80,6
-0,1
-68
86,5
-31,6
39,3
33,2
92,9
-21,6
-60,4
-53,7
68,7
-65,2
-67,4
-2,4
-38,8
-5,5
-4,1
-56,2
14,3
-64,7
-95,1
38,1
84,8
88,6
21,5
34,1
14,4
55,9
50,9
-48,3
-64,2
-19,9
46,4
-38,8
-12,7
-94,7
6,8
97,1
-15,3
-82,6
-94,6
-0,5
42,6
99,9
19,4
76,9
51,2
-63,7
-62,5
8,7
-54,4
-31,6
-23,5
10,6
75,6
61,8
-52,8
97,8
46,9
-94,8
-81,2
-63,1
27,5
87,9
-89,5
-11,4
-11,6
71,4
-89,7
-44,2
87,7
-1,3
59,1
-3,2
-70,2
5,4
95,4
84,8
-30,9
44,6
82,8
-22
18,3
-57,9
-94
67,3
-96,5
-64,3
-14,5
25,4
58,1
8,9
-49,8
-20,6
98,6
68,4
72
54,7
89,4
-69,2
-11,6
79,8
-74
81,7
21
46,8
9,3
79,6
-19,3
-29,8
66,4
-37,7
28,6
-97,7
-77,7
40,7
18,6
-14,7
81,8
-56,9
-15
-47,3
-14,2
-15,2
-2,3
-21,3
-51,5
-20,4
-1,8
-38,6
33,3
-59,3
95,4
-61,7
-43,9
-97
-48,1
36,5
21,1
-40,8
-42,1
-76,1
55
-84,8
59
-4,2
80,2
-52,1
-43
-42,2
-50,2
-13,3
72,9
46,2
45,8
-64,3
-6,1
41,1
-16
-57,8
-1,8
-70,3
-18,6
-80,8
36,9
25,7
-33,2
-9,7
46,1
-80,7
-11,3
82
64,2
22,5
85,1
-38,9
-2,4
-29,5
25,8
-98,1
-1,6
-99,4
-77,5
-59,7
-88,4
-53,4
-32,3
-50,9
-7,6
-79,7
9
10,8
-47,5
-21,2
60,9
-71,8
42,4
35,7
-21,7
-66,7
-71,1
-10,1
1,7
-62,3
69
-32,3
22,4
-49,7
61
-15,3
38
-76,7
-84,8
-18
43,8
-2,5
-92,9
-58,9
-92,4
-9,8
-42,1
-82,3
97,8
25,7
10,2
77,9
29,4
-14,6
61,5
56,9
18,6
61,9
92,2
-7,5
73
-91,5
-1,1
84,8
-28,8
43,8
24,1
-82,6
-12
-92,3
-17,8
-14,3
-4,5
70,4
35
-36,6
-78,9
1,3
28
88
75,3
-88,9
-8
75,9
27,4
91,1
38,2
-63
-11,3
-95,9
66
76,1
-68,9
22,7
9
35,2
98,6
-77,8
69,8
-36,3
66,1
-59,6
29,6
90,1
-56,6
-75,5
-17,6
58,9
50,4
-1,9
35,8
-82,7
-66,2
-95,9
17,1
61,8
16,5
22,9
-42,7
-19,9
-94,4
-13
28,6
-16,1
-58,4
6,1
-45,5
72,7
-38,7
99,7
-35,3
98,8
31,5
-35,7
-78,1
34,9
-18,5
1,8
32,5
2,9
8,7
79,2
-13,4
90,6
-31,7
48,7
42,2
-73
-94,5
47,2
-81,4
-24,3
64,8
-10,4
-41,9
-20,9
11,7
-54,3
48,4
37,3
70
9,6
-2,5
50,6
-66,6
37
-14,3
69,5
82,1
82,2
-19,8
-85,4
90,4
54,4
71,4
-73,7
-99,7
38
-84,5
-7,1
63,8
-72,6
67,2
14,1
81,1
88,9
-66,1
-58,2
-93,9
42,8
-76,9
-64,3
53,4
95,1
32,8
99,1
-18,4
36
57,1
31,3
-37,1
72,6
-55,2
-76,7
-33,1
-96,1
-14,7
-89,7
18,2
-68,2
-21,3
73,7
-69,9
-44,5
73,4
42,5
42,4
83,4
69,4
-55,6
3
-56,1
63,4
-60,7
59,1
-55,5
-38,8
95,2
